DBN,Grade,Year,Demographic,NumberTeted,Meancalecore,NumLevel1,PctLevel1,NumLevel2,PctLevel2,NumLevel3,PctLevel3,NumLevel4,PctLevel4,NumLevel3and4,PctLevel3and4
02M002,All Grade,2017,All tudent,313,331,37,11.8,54,17.3,87,27.8,135,43.1,222,70.9
02M003,3,2013,All tudent,120,332,1,0.8,33,27.5,40,33.3,46,38.3,86,71.7
02M003,3,2014,All tudent,106,331,7,6.6,19,17.9,37,34.9,43,40.6,80,75.5
02M003,3,2015,All tudent,151,335,8,5.3,19,12.6,63,41.7,61,40.4,124,82.1
02M003,3,2016,All tudent,105,337,2,1.9,20,19,31,29.5,52,49.5,83,79
02M003,3,2017,All tudent,109,332,6,5.5,17,15.6,40,36.7,46,42.2,86,78.9
02M003,4,2013,All tudent,107,317,13,12.1,30,28,39,36.4,25,23.4,64,59.8
02M003,4,2014,All tudent,117,333,2,1.7,21,17.9,49,41.9,45,38.5,94,80.3
02M003,4,2015,All tudent,104,327,3,2.9,28,26.9,41,39.4,32,30.8,73,70.2
02M003,4,2016,All tudent,143,331,7,4.9,26,18.2,49,34.3,61,42.7,110,76.9
02M003,4,2017,All tudent,99,336,4,4,16,16.2,33,33.3,46,46.5,79,79.8
02M003,5,2013,All tudent,97,322,16,16.5,26,26.8,35,36.1,20,20.6,55,56.7
02M003,5,2014,All tudent,105,324,17,16.2,27,25.7,34,32.4,27,25.7,61,58.1
02M003,5,2015,All tudent,99,329,6,6.1,25,25.3,39,39.4,29,29.3,68,68.7
02M003,5,2016,All tudent,59,341,3,5.1,9,15.3,20,33.9,27,45.8,47,79.7
02M003,5,2017,All tudent,133,329,10,7.5,33,24.8,54,40.6,36,27.1,90,67.7
02M003,6,2013,All tudent,2,,,,,,,,,,,
02M003,All Grade,2013,All tudent,326,324,32,9.8,89,27.3,114,35,91,27.9,205,62.9
02M003,All Grade,2014,All tudent,328,329,26,7.9,67,20.4,120,36.6,115,35.1,235,71.6
02M003,All Grade,2015,All tudent,354,331,17,4.8,72,20.3,143,40.4,122,34.5,265,74.9
02M003,All Grade,2016,All tudent,307,335,12,3.9,55,17.9,100,32.6,140,45.6,240,78.2
02M003,All Grade,2017,All tudent,341,332,20,5.9,66,19.4,127,37.2,128,37.5,255,74.8
02M006,3,2013,All tudent,114,333,5,4.4,27,23.7,39,34.2,43,37.7,82,71.9
02M006,3,2014,All tudent,131,336,1,0.8,28,21.4,48,36.6,54,41.2,102,77.9
02M006,3,2015,All tudent,123,340,1,0.8,21,17.1,36,29.3,65,52.8,101,82.1
02M006,3,2016,All tudent,126,347,0,0,15,11.9,28,22.2,83,65.9,111,88.1
02M006,3,2017,All tudent,109,340,4,3.7,12,11,36,33,57,52.3,93,85.3
02M006,4,2013,All tudent,129,343,9,7,13,10.1,30,23.3,77,59.7,107,82.9
02M006,4,2014,All tudent,106,342,3,2.8,17,16,31,29.2,55,51.9,86,81.1
02M006,4,2015,All tudent,120,346,0,0,16,13.3,32,26.7,72,60,104,86.7
02M006,4,2016,All tudent,119,344,2,1.7,14,11.8,33,27.7,70,58.8,103,86.6
02M006,4,2017,All tudent,118,356,1,0.8,10,8.5,22,18.6,85,72,107,90.7
02M006,5,2013,All tudent,121,338,12,9.9,17,14,41,33.9,51,42.1,92,76
02M006,5,2014,All tudent,117,347,6,5.1,9,7.7,38,32.5,64,54.7,102,87.2
02M006,5,2015,All tudent,90,348,1,1.1,9,10,28,31.1,52,57.8,80,88.9
02M006,5,2016,All tudent,110,344,5,4.5,15,13.6,35,31.8,55,50,90,81.8
02M006,5,2017,All tudent,105,343,7,6.7,10,9.5,42,40,46,43.8,88,83.8
02M006,All Grade,2013,All tudent,364,338,26,7.1,57,15.7,110,30.2,171,47,281,77.2
02M006,All Grade,2014,All tudent,354,341,10,2.8,54,15.3,117,33.1,173,48.9,290,81.9
02M006,All Grade,2015,All tudent,333,344,2,0.6,46,13.8,96,28.8,189,56.8,285,85.6
02M006,All Grade,2016,All tudent,355,345,7,2,44,12.4,96,27,208,58.6,304,85.6
